abnormal a.不正常的；变态的
aboard ad.在船(车)上；上船
accuracy n.准确(性)；准确度
accurate a.准确的，正确无误的
actress n.女演员
actual a.实际的；现行的
actually ad.实际上；竟然
acute a.尖的，锐的；敏锐的
addition n.加，加法；附加物
additional a.附加的，追加的
address n.地址；演说；谈吐
adequate a.足够的；可以胜任的
adjective n.形容词 a.形容词的
adult n.成年人 a.成年的
advance vi.前进；提高 n.进展
advanced a.先进的；高级的
advantage n.优点，优势；好处
adventure n.冒险；惊险活动
adverb n.副词
advertisement n.广告；公告；登广告
advice n.劝告；忠告；意见
advisable n.明智的；可取的
afraid a.害怕的；担心的
always ad.总是，一直；永远
analysis n.分析，分解，解析
ancestor n.祖宗，祖先
anchor n.锚 vi.抛锚，停泊
ancient a.古代的，古老的
angle n.角，角度
angry a.愤怒的，生气的
animal n.动物，兽 a.动物的
ankle n.踝，踝节部
ant n.蚂蚁
anyway ad.无论如何
anywhere ad.在什么地方
apart ad.相隔；分开；除去
apartment n.一套公寓房间
apologize vi.道歉，谢罪，认错
apology n.道歉，认错，谢罪
apparatus n.器械，仪器；器官
appear vi.出现；来到；似乎
appearance n.出现，来到；外观
appetite n.食欲，胃口；欲望
apple n.苹果，苹果树
appliance n.用具，器具，器械
applicable a.能应用的；适当的
appropriate a.适当的，恰当的
approval n.赞成，同意；批准
approximately ad.近似地，大约
award n.奖，奖品；判定
aware a.知道的，意识到的
away ad.离开，远离；…去
awful a.令人不愉快的
awfully ad.令人畏惧的；很
baby n.婴儿；孩子气的人
back ad.在后；回原处；回
background n.背景，后景，经历
baggage n.行李
banner n.旗，旗帜，横幅
bar n.酒吧间；条，杆；栅
basin n.盆，洗脸盆；盆地
basis n.基础，根据
basket n.篮，篓，筐
basketball n.篮球；篮球运动
bat n.球拍；短棍；蝙蝠
bath n.浴，洗澡；浴缸
bathroom n.浴室；盥洗室
battery n.电池；一套，一组
bread n.面包；食物，粮食
breeze n.微风，和风
brick n.砖，砖块；砖状物
bruise n.青肿，伤痕；擦伤
brush n.刷子，毛刷；画笔
brute n.禽兽，畜生
bubble n.泡 vi.冒泡，沸腾
bucket n.水桶；吊桶；铲斗
bud n.芽，萌芽；蓓蕾
bull n.公牛；雄的象
bullet n.枪弹，子弹，弹丸
bunch n.束，球，串；一群
bundle n.捆，包，束；包袱
burden n.担子，重担；装载量
bureau n.局，司，处；社，所，由
cock n.公鸡；雄禽；旋塞
code n.准则；法典；代码
coffee n.咖啡，咖啡茶
coil n.(一)卷；线圈 vt.卷
coin n.硬币；铸造(硬币)
cold a.冷的；冷淡的 n.冷
collapse vi.倒坍；崩溃，瓦解
collar n.衣领，项圈
colleague n.同事，同僚
college n.学院；大学
collision n.碰撞；冲突
colonel n.陆军上校；中校
colony n.殖民地；侨居地
color n.颜色，彩色；颜料
community n.社区；社会；公社
companion n.同伴；共事者；伴侣
company n.公司，商号；同伴
comrade n.同志，亲密的同伴
conductor n.售票员；(乐队)指挥
conquest n.攻取，征服；克服
conscience n.良心，道德心
conscious a.意识到的；有意的
consciousness n.意识，觉悟；知觉
consent n.同意，赞成 vi.同意
constant a.经常的；永恒的
constitution n.章程；体质；构造
convenience n.便利，方便；厕所
convenient a.便利的；近便的
convention n.习俗，惯例；公约
conventional a.普通的；习惯的
conversation n.会话，非正式会谈
conversely ad.相反地
conversion n.转变，转化；改变
cooperate vi.合作，协作；配合
cordial a.真诚的，诚恳的
core n.果实的心，核心
corn n.谷物；(英)小麦
corner n.角；犄角；边远地区
